username,follower,following,media,average_like,average_comment,average_reach
jxx1_nov,269,190,67,34.33,2.0,165
180h.29,387,427,12,70.4,7.0,328
no.1eyelash,924,429,575,22.5,0.11,182
_hoonja.is.broken_,201,549,2,43.0,4.0,450
syw_0311,1233,476,39,153.89,2.0,890
jiwoong___s,585,340,42,136.33,23.75,528
ddaeng._.7,10574,475,92,131.33,7.73,617
bakseoko,927,599,56,93.89,12.1,707
gj_event_,1656,306,9,84.0,4.0,192
yhj.0813,2027,224,209,94.55,18.9,236
seo_minu_0529,165,367,41,13.5,0.0,98
ya9416,1131,271,33,66.5,31.5,206
space_big_star__,1188,182,17,231.86,0.33,628
shoesneverworn,1155,574,24,53.33,5.33,377
mxnwxxk,4828,190,3,1066.0,45.5,2769
beauty_han618,76,90,77,18.2,2.18,70
k2safety,3781,104,426,28.7,0.08,769
sanyoung_illust_daylife,98,257,51,30.4,0.0,83
hrrrrra._.m,1117,777,18,231.0,7.4,959
cheungs_landscape,1103,820,471,115.9,3.25,292
ybly_yen,541,227,184,24.12,1.8,47
bjh_0416,1767,238,141,98.25,2.71,412
toro_moongchi_mom,1532,2890,917,11.2,0.5,95
soonsu_studio,6933,21,146,205.42,3.0,2217
pompompu._.rin,867,450,12,243.9,7.55,1164
c_mf0,829,1092,154,54.9,0.11,113
nachotime_,1746,2309,194,134.6,11.27,650
1g_yum,1180,630,41,163.67,11.67,538
bibi.bigpotato_,2827,890,625,29.67,2.56,154
staycoolxid,459,109,106,47.67,6.0,201
bo_kyoung522,2493,372,19,687.0,21.0,2035
si_eun_22,1274,426,122,80.0,28.0,167
mimin0ir,992,95,98,243.12,7.67,1439
soo330123,6877,395,124,83.88,2.56,244
lovedanune,9913,6894,1986,61.91,1.11,895
ichu_bebe,8409,6782,2114,69.36,5.67,676
uni._.uniluv,1086,4093,1774,6.0,0.0,117
hajun____mom,4389,3720,4106,20.75,0.14,106
yesunah3223,11997,6100,1831,41.38,1.89,729
geonri_mom,5119,2687,1580,57.2,5.5,476
hoooongs.bebe,2050,1402,906,21.0,1.5,247
kimjinkyung_1203,4002,3472,2005,24.2,0.57,487
200425.i,1163,2332,491,16.82,6.43,138
skyalrud,4424,3521,1249,17.33,0.29,135
bebe___lucca,873,820,1408,13.2,1.3,150
zzingzzing_bebe,2413,1855,1365,20.78,0.0,215
eunyuri_76,2682,3487,440,19.0,0.09,86
lo_hui_,1253,255,12,38.67,2.0,187
lwj_1317,281,213,23,54.73,3.44,333
gxittizr,256,139,9,211.57,5.56,407
crabappl.ee,10,43,3,9.67,0.0,30
common_cody,1586,1266,23,406.8,38.0,995
_milooy,675,280,60,90.5,8.71,318
jjung__1379,147,331,42,25.7,2.9,92
qvo_yejin,2260,649,39,351.89,9.44,1664
hodu__jwan,1644,1137,77,243.14,48.22,951
ww_luv_je,2015,623,81,337.2,66.56,1371
luv_chae1mom,1094,652,1550,33.5,3.14,196
dahye5317,221,165,113,20.67,0.0,125
eun.xdragon,730,342,57,68.5,2.33,287
hxxrlin,1188,706,61,130.7,2.89,544
iiios00,341,150,18,293.5,21.38,705
s.yeon_spring,134,56,13,10.6,0.0,62
double_mochi_,150,320,38,15.09,0.1,169
iliveinyourinterest,681,144,9,340.86,0.0,2131
sun._.c00l,722,459,14,112.0,11.0,380
yj_may0529,5,1,5,2.33,0.0,16
ixsjun,417,95,6,48.2,7.33,305
mori._.cat,24844,2663,491,4422.75,57.5,43859
yulah_104,159,99,57,40.5,0.0,69
bbang_tae_man_sang,4992,919,202,531.22,133.5,2177
_hyejiniyam_,1121,495,24,197.55,13.83,958
ss_u_b,2249,513,58,445.9,9.86,1087
suin0318,112,53,10,36.0,0.0,110
jun_h_323,278,368,15,73.0,2.0,302
sik._98,605,814,22,141.3,5.2,601
fox_dailylook,3569,1778,137,573.89,205.0,1514
paztivboy,528,376,25,64.5,14.0,326
s2_kiery_camp,2074,1062,204,189.0,5.0,398
lily_noa_vintage,126,85,23,16.82,2.0,73
chxxn_93,3628,1643,20,289.78,16.57,1787
k_.ong7788,301,46,6,125.75,2.8,313
nimos_kim_,56,21,50,8.58,0.14,45
up_hyun_02,818,424,31,373.25,21.0,1197
hyorrrrop_._._,896,426,55,137.33,8.18,671
mingue_wrap,312,310,12,60.0,14.0,484
sontldhsx_,41,102,1,9.0,2.0,40
guswl._.cx,938,767,50,207.0,15.56,471
jes2ica_sum01,490,551,42,116.0,4.0,344
18___1.ck,1802,656,18,292.33,2.71,988
dirtlump_,848,198,78,56.3,0.5,517
ordinary_life_beom,345,428,134,21.6,0.22,121
starry_01.21,901,58,29,13.57,0.2,85
ahple_m,1327,322,191,141.75,5.5,600
mw98_____,613,160,7,31.0,2.0,170
haley.oh,688,730,233,101.71,6.0,758
xxk00ng,573,274,157,73.67,5.2,284
tempoyely,3183,608,761,141.75,3.73,448
silverstar_byeol,507,272,295,91.0,2.8,110
simon_yu_kr,10014,2107,1498,77.44,4.3,550
y_o___lo,1209,645,63,337.91,8.1,969
dung_ji,1896,947,255,315.9,19.44,1313
m_chaerry,579,282,12,45.0,5.56,304
dydw.o,240,308,0,0.0,0.0,0
thedanceichoseformyall,1054,1171,5,181.6,10.25,1046
blackgumiho,188,165,23,35.33,5.2,90
hi.dodosol,9338,4388,2003,46.5,0.0,320
sohyun.huh,339,473,159,42.2,1.5,229
ji_young____00,13559,941,279,754.67,108.7,3232
twinkle_.__twinkle,1284,1070,39,332.6,37.9,563
csheep,71094,5685,528,795.9,8.64,1164
banananana1235,1365,1116,58,39.89,0.56,111
baesh1124,476,843,88,46.2,0.12,160
bootttto,2444,810,142,137.82,3.89,678
azure_dong,479,311,54,116.38,5.33,305
everyday_smile_go,5355,3981,628,141.27,19.36,383
io_fl_,75,82,21,23.71,0.0,66
